neighborhood,api_lon,api_lat
La primavera,-103.57063036276779,20.717022435738976
La primavera,-103.57054559218417,20.726055551771026
Del carril,-103.57054559218417,20.726055551771026
La primavera,-103.57046077621347,20.73508865799637
El calabozo,-103.5610294032824,20.71694243277199
Nuevo primavera,-103.5610294032824,20.71694243277199
La primavera,-103.5610294032824,20.71694243277199
La venta del astillero,-103.5610294032824,20.71694243277199
El calabozo,-103.56094406377905,20.72597551079376
Nuevo primavera,-103.56094406377905,20.72597551079376
La primavera,-103.56094406377905,20.72597551079376
La venta del astillero,-103.56094406377905,20.72597551079376
Del carril,-103.56094406377905,20.72597551079376
La venta del astillero,-103.55142848947634,20.716861894640374
La venta del astillero,-103.55134258106555,20.725894934397655
La venta del astillero,-103.55125662665863,20.734927964339487
La venta del astillero,-103.54182762165405,20.71678082135487
La venta del astillero,-103.5417411443482,20.725813822593437
La venta del astillero,-103.54165462074168,20.734846814012137
Nextipac,-103.5413080630599,20.77097868141688
Nextipac,-103.54122130776308,20.7800116236827
Pinar de la venta,-103.53222680011993,20.716699212926283
La venta del astillero,-103.53222680011993,20.716699212926283
Pinar de la venta,-103.53213975393145,20.725732175391922
La venta del astillero,-103.53213975393145,20.725732175391922
Pinar de la venta,-103.53205266113785,20.73476512803325
La venta del astillero,-103.53205266113785,20.73476512803325
La soledad,-103.53187833568504,20.75283100382868
La soledad,-103.53179110300071,20.76186392697563
Fuentes nextipac,-103.53179110300071,20.76186392697563
Nextipac,-103.53179110300071,20.76186392697563
Nextipac,-103.53170382366103,20.770896840283967
Nextipac,-103.53161649765339,20.779929743750134
Pinar de la venta,-103.5226260251784,20.716617069365487
Pinar de la venta,-103.52253841011985,20.725649992803994
La soledad,-103.52227528343596,20.75274870413249
La soledad,-103.52218748066312,20.76178158823439
Nextipac,-103.52218748066312,20.76178158823439
Nextipac,-103.52209963093011,20.77081446249319
Nextipac,-103.52201173422424,20.779847326905315
Prados de la soledad,-103.52192379053287,20.788880181467196
Nextipac,-103.51258390528571,20.761698713100603
Nextipac,-103.51249548517202,20.77073154805552
Nextipac,-103.5124070177806,20.779764373159235
La rumorosa,-103.5124070177806,20.779764373159235
La rumorosa,-103.5123185030987,20.78879718840819
Prados de nextipac 2a seccion,-103.5123185030987,20.78879718840819
Prados de la soledad,-103.5123185030987,20.78879718840819
Prados de nextipac 1a seccion,-103.5123185030987,20.78879718840819
Prados de la soledad,-103.51222994111353,20.797829993798796
Prados de nextipac 1a seccion,-103.51222994111353,20.797829993798796
Prados de santa lucia,-103.51222994111353,20.797829993798796
Ampliacion santa lucia,-103.51222994111353,20.797829993798796
Ampliacion santa lucia,-103.51214133181234,20.806862789327482
La rumorosa,-103.50280234862745,20.77968088252296
La rumorosa,-103.50271326296777,20.788713658204585
Prados de nextipac 2a seccion,-103.50271326296777,20.788713658204585
Los angeles,-103.50271326296777,20.788713658204585
Los tres vaqueros,-103.50271326296777,20.788713658204585
Prados de nextipac 1a seccion,-103.50271326296777,20.788713658204585
Santa monica de los chorritos,-103.50271326296777,20.788713658204585
Los angeles,-103.50262412969981,20.79774642402331
Los tres vaqueros,-103.50262412969981,20.79774642402331
Prados de nextipac 1a seccion,-103.50262412969981,20.79774642402331
Santa monica de los chorritos,-103.50262412969981,20.79774642402331
Prados de santa lucia,-103.50262412969981,20.79774642402331
Santa lucia,-103.50262412969981,20.79774642402331
Ampliacion santa lucia,-103.50262412969981,20.79774642402331
Prados de santa lucia,-103.50253494881069,20.80677917997556
Santa lucia,-103.50253494881069,20.80677917997556
Villas de santa lucia,-103.50253494881069,20.80677917997556
Ampliacion santa lucia,-103.50253494881069,20.80677917997556
El alamo,-103.50253494881069,20.80677917997556
Los alamos,-103.50253494881069,20.80677917997556
Cristo rey,-103.50253494881069,20.80677917997556
Ampliacion santa lucia,-103.50244572028757,20.81581192605775
Cristo rey,-103.50244572028757,20.81581192605775
Colinas de cristo rey,-103.50244572028757,20.81581192605775
Santa ana tepetitlan,-103.49489211654385,20.60797300361655
Vistas  del valle,-103.49489211654385,20.60797300361655
Castaños,-103.49489211654385,20.60797300361655
Vistas del valle 1,-103.49489211654385,20.60797300361655
Santa ana tepetitlan,-103.49480336782652,20.617005926277113
Castaños,-103.49480336782652,20.617005926277113
Autodromo,-103.49480336782652,20.617005926277113
Parque de las aves,-103.49319772706974,20.779596855007618
Parque de las aves,-103.49310807044513,20.788629590867526
Los angeles,-103.49310807044513,20.788629590867526
El humedo de nextipac,-103.49310807044513,20.788629590867526
Las agujas,-103.49310807044513,20.788629590867526
Santa monica de los chorritos,-103.49310807044513,20.788629590867526
El humedo de nextipac,-103.49301836590722,20.797662316859952
Las agujas,-103.49301836590722,20.797662316859952
Santa monica de los chorritos,-103.49301836590722,20.797662316859952
Prados de santa lucia,-103.49301836590722,20.797662316859952
Santa lucia,-103.49301836590722,20.797662316859952
Tesistan,-103.49301836590722,20.797662316859952
Prados de santa lucia,-103.49292861344303,20.806695032981306
Santa lucia,-103.49292861344303,20.806695032981306
Villas de santa lucia,-103.49292861344303,20.806695032981306
Ampliacion santa lucia,-103.49292861344303,20.806695032981306
El alamo,-103.49292861344303,20.806695032981306
Loma chica,-103.49292861344303,20.806695032981306
La cuspide,-103.49292861344303,20.806695032981306
Cristo rey,-103.49292861344303,20.806695032981306
Revolucion,-103.49292861344303,20.806695032981306
La cuspide,-103.49283881303963,20.81572773922802
Cristo rey,-103.49283881303963,20.81572773922802
Revolucion,-103.49283881303963,20.81572773922802
Vistas de tesistan,-103.49283881303963,20.81572773922802
Colinas de cristo rey,-103.49283881303963,20.81572773922802
Colinas de cristo rey,-103.49274896468407,20.824760435596517
Ciudad bugambilias,-103.48538759905783,20.598856307334703
Ciudad bugambilias,-103.48529833312833,20.607889199806525
Santa ana tepetitlan,-103.48529833312833,20.607889199806525
Vistas  del valle,-103.48529833312833,20.607889199806525
Vistas del valle 1,-103.48529833312833,20.607889199806525
Ciudad bugambilias,-103.48520901923897,20.61692208247811
Santa ana tepetitlan,-103.48520901923897,20.61692208247811
Vistas del valle 1,-103.48520901923897,20.61692208247811
Coto amalfi,-103.48520901923897,20.61692208247811
Autodromo,-103.48520901923897,20.61692208247811
Coto firenzze,-103.48520901923897,20.61692208247811
Coto amalfi,-103.48511965737688,20.62595495534585
Autodromo,-103.48511965737688,20.62595495534585
Coto firenzze,-103.48511965737688,20.62595495534585
Coto livorno,-103.48511965737688,20.62595495534585
Coto antara,-103.48511965737688,20.62595495534585
La granja,-103.48511965737688,20.62595495534585
Oyamel,-103.48511965737688,20.62595495534585
Foret,-103.48511965737688,20.62595495534585
Arrayanes habitat,-103.48511965737688,20.62595495534585
Luna bosque residencial,-103.48511965737688,20.62595495534585
Arrayanes habitat,-103.48503024752928,20.63498781840615
Luna bosque residencial,-103.48503024752928,20.63498781840615
5 de noviembre,-103.48503024752928,20.63498781840615
El tizate,-103.48503024752928,20.63498781840615
La loma alta,-103.48503024752928,20.63498781840615
Lomas de la primavera,-103.48503024752928,20.63498781840615
El tizate,-103.48494078968325,20.644020671655404
Lomas de la primavera,-103.48494078968325,20.644020671655404
Brisas de la primavera,-103.48494078968325,20.644020671655404
Lomas de la primavera,-103.48485128382595,20.653053515090022
Brisas de la primavera,-103.48485128382595,20.653053515090022
