name	category	category_code	lat	lon	address
Escuela Primaria Miguel Hidalgo y Costilla	Elementary School	12058	20.729679	-103.54236	45221 La Venta del Astillero, Jalisco
Sala de Necropsias	Medical School	12045	20.729717	-103.53036	Zapopan, Jalisco
Control Escolar CUCBA	College Administrative Building	12015	20.729277	-103.529633	
CECYTEJ #19 Nextipac	College Academic Building	12014	20.782863	-103.52254	Camino Viejo a Santa Lucía s/n, 45220 , Jalisco
Secundaria Técnica 169. Nextipac	High School	12059	20.783923	-103.521132	
Peptidos Naturales @ivanrmoya	College Science Building	12036	20.75714	-103.513748	
Jose Angel Conchello Davila	Student Center	12047	20.805481	-103.498831	Manzana, Jalisco
Urbana 1160	Elementary School	12058	20.807782	-103.498394	
Urbana 1251	Student Center	12047	20.805439	-103.498316	Manzana, 45200 , Jalisco
Auditorio 1	College Auditorium	12017	20.790534	-103.490511	Zapopan, Jalisco
Prepa 19 de la Universidad de Guadalajara	Student Center	12047	20.816059	-103.486853	Jalisco
Escuela Manuel Gómez Morín	Elementary School	12058	20.641299	-103.478409	Zapopan, Jalisco
Preparatoria No. 19	College Academic Building	12014	20.7956	-103.481318	
Jardin de Niños Tesistan	Nursery School	12055	20.80091	-103.481961	Zapopan, Jalisco
Good looking gym	College Gym	12027	20.801715	-103.484087	Bellavista, 45200 Tesistan, Jalisco
Primaria Jaime Torres Bodeth 1112	Student Center	12047	20.797509	-103.477237	Las Agujas, Jalisco
Escuela	Student Center	12047	20.79581	-103.47747	Jalisco
Escuela Primaria Pedro Moreno Urbana 466	Student Center	12047	20.795679	-103.476799	Valle de Tesistan, Jalisco
Colegio Don Bosco	Private School	12061	20.803156	-103.479389	Jalisco
Jardin de niños Andrés teran	Nursery School	12055	20.811829	-103.478741	Francisco Villa 100, 48520 , Jalisco
Colegio Matel II	Community College	12048	20.621078	-103.477944	Jalisco
Preparatoria 20 Universidad de Guadalajara	Student Center	12047	20.628348	-103.477291	Avenida Paseo del Bosque s/n (H. Colegio Militar), 45066 Zapopan, Jalisco
Biizu Huiini	Nursery School	12055	20.62708	-103.47165	Francisco Montes de Oca 3352, 45140 Zapopan, Jalisco
Colegio Matel Ac	College and University	12013	20.628345	-103.46997	Prl Mariano Otero 4 5, 45066 Guadalajara, Jalisco
Ciriac	College Academic Building	12014	20.628323	-103.46996	Zapopan, Jalisco
Colegio Caridis	Preschool	12056	20.625659	-103.469264	Avenida bronce 35 (H. Colegio Militar), 45066 El Fortin, Jalisco
Escuela Primaria Federal 28 de Noviembre de 1911	Student Center	12047	20.63677	-103.473227	Cascada 213 (Mercurio y Paseo de la primavera), Zapopan, Jalisco
Escuela Secundaria Mixta #52	High School	12059	20.638196	-103.475605	Zapopan, Jalisco
Colegio Chapala	College and University	12013	20.64378	-103.472939	Flavenida Io Romero de Velasco 421, 45907 Chapala, Jalisco
Signos	Education	12009	20.691533	-103.473511	66400 , Nuevo León
Instituto Tecnologico Superior de Zapopan	College Academic Building	12014	20.701585	-103.472582	Camino Arenero 1101, 45019 Zapopan, Jalisco
CIATEJ unidad Zapopan	College Science Building	12036	20.70112	-103.474257	Zapopan, Jalisco
Edificio Ciencias Basicas Itsz	College Science Building	12036	20.701672	-103.473009	Zapopan, Jalisco
Academia Tigres Occidente Kids	Education	12009	20.697733	-103.470611	Jalisco
