name	category	category_code	lat	lon	address
Finca la Primavera	Alternative Medicine Clinic	15003	20.718154	-103.564076	
Centro de Salud la Primavera	Hospital	15014	20.724564	-103.563288	Zapopan, Jalisco
Hacienda la Venta Club Canino	Assisted Living Service	15004	20.721392	-103.540449	Jalisco
Biohemm	Medical Lab	15017	20.729034	-103.542822	Hidalgo 10, La Venta del Astillero, Jalisco
Ciudad de Guadalajara	Assisted Living Service	15004	20.729353	-103.539463	Jalisco
Ruelas Barrios Carlos Alberto	Medical Center	15016	20.729112	-103.542286	Avenida Juarez 29, 45100 Zapopan, Jalisco
Eqcovet	Veterinarian	15054	20.754693	-103.532766	Jalisco
Doctora Rosalba Hernandez Albarran	Doctor's Office	15031	20.79581	-103.496736	Salto del Agua 84, Jalisco
Cruz verde santa lucia	Emergency Room	15010	20.799066	-103.495831	Zapopan, Jalisco
Ornelas Ceballos Penelope	Health and Medicine	15000	20.812644	-103.500265	Avenida Lopez Mateos 3139, 45235 Zapopan, Jalisco
Welch Allyn Store	Ophthalmologist	15041	20.610004	-103.489994	45237 , Jalisco
Dog's	Veterinarian	15054	20.626399	-103.479167	Avenida Colégio Militar 1, 1500, Jalisco
Unidad de Especialidades Médicas	Doctor's Office	15031	20.627644	-103.480682	Justo Sierra 2041, 45066 Guadalajara, Jalisco
Shusho's	Assisted Living Service	15004	20.630867	-103.483315	
Farmacia SISfarma	Health and Medicine	15000	20.627951	-103.479727	Colegio Militar 3304, Zapopan, Jalisco
Consultorio SISfarma	Doctor's Office	15031	20.626616	-103.478822	Colegio Militar 3304, Zapopan, Jalisco
Unidad de Medicina Familiar No. 182 IMSS	Medical Center	15016	20.78665	-103.482283	Zapopan, Jalisco
OrtoArt	Dentist	15007	20.796441	-103.480144	Calle Zaragoza, 45200 Zapopan, Jalisco
Homeópata	Alternative Medicine Clinic	15003	20.796415	-103.48009	45100 Tesistán, Jalisco
Consultorio Dr. Juanjo Rivas	Doctor's Office	15031	20.799286	-103.479903	Jalisco
Casa Hogar María Teresa, A.C.	Non-Profit Organization	12086	20.794898	-103.479077	16 de Septiembre 371, Zapopan, Jalisco
Laboratorio Consultivo de Control	Medical Lab	15017	20.798563	-103.477263	Federalismo Norte 435, 44226 Guadalajara, Jalisco
Asesoría nutricional L.N. Marcela Gloria	Doctor's Office	15031	20.798183	-103.476911	Jalisco 51, Zapopan, Jalisco
Clinica Dental la Zapopana	Dentist	15007	20.794965	-103.477424	Jalisco 193, 45100, 45200 Zapopan, Jalisco
Consultorio Medico Felipe de Jesus	Doctor's Office	15031	20.800122	-103.477218	Jalisco
Elitr Dental	Dentist	15007	20.614868	-103.46884	De los Leones, Jalisco
Soin Dental	Dentist	15007	20.624157	-103.471032	Avenida Heroico Colegio Militar 3304 (Av. Mariano Otero), 45066 Zapopan, Jalisco
Centro de Salud Lomas de la Primavera	Medical Center	15016	20.639232	-103.471502	Zapopan, Jalisco
Servicios Medicos Comite Puerto Rico	Doctor's Office	15031	20.689431	-103.474367	Zapopan, Jalisco
Area Medica Chile Villa Panameticana	Medical Center	15016	20.689061	-103.47342	Zapopan, Jalisco
Policlinica Villa Panamericana	Medical Center	15016	20.690731	-103.469701	Zapopan, Jalisco
Enfermeria TEC Osuno	Doctor's Office	15031	20.701817	-103.472986	Zapopan, Jalisco
Área de Rehabilitación Subiré	Medical Center	15016	20.72694	-103.47284	Avenida Paseo Solares, 45019 Zapopan, Jalisco
Medical Cadillo	Doctor's Office	15031	20.788949	-103.468855	Zapopan, Jalisco
Consultorio dental boca sana	Dentist	15007	20.790668	-103.468183	Avenida San Mateo 789, Jalisco
Unidad Medica San Mateo	Doctor's Office	15031	20.794832	-103.468465	Jalisco
Albeitar Veterinaria Panoramica	Veterinarian	15054	20.612029	-103.461087	Plaza Panorámica Bugambilias, Zapopan, Jalisco
Avere	Physical Therapy Clinic	15026	20.625181	-103.46489	Zapopan, Jalisco
Amizoo	Veterinarian	15054	20.628259	-103.462075	Subcolectora 2, 45066 Zapopan, Jalisco
I Love Chuchos!	Veterinarian	15054	20.627271	-103.461137	Avenida Mariano Otero (Av. Guadalupe), Zapopan, Jalisco
