	google_id	name	query	lat	lon	address	types
0	ChIJ_QxhOb6rKIQRHiPPBR3Y7Dc	Escuela Preparatoria No. 20 UdeG	preparatoria	20.6283391	-103.4771508	Av. Paseo del Bosque, El Fortín, 45066 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
1	ChIJjSy9LdKoKIQRXizAmvnTmTU	Escuela Preparatoria No. 15 U de G	preparatoria	20.7104494	-103.4426811	5 de Mayo esquina, Av. Perif. Pte. Manuel Gómez Morin S/N, San Juan de Ocotán, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
2	ChIJF1FpeiapKIQR-LFd2Ub-gms	Universidad Cuauhtémoc Plantel Guadalajara	preparatoria	20.6976098	-103.4652564	Av. Del Bajío No. 5901, Del Bajio, 45019 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
3	ChIJR-ajpYWtKIQRtEt7beHULGA	Preparatoria SEIM Zapopan	preparatoria	20.6428276	-103.4499012	Puerto Batabampo 27 C, Miramar, 45060 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
4	ChIJh1TIJFuuKIQRr3Oufn9IkRY	UAG High School	preparatoria	20.6908551	-103.4031379	P.º del Prado 1210, Lomas del Valle, 45129 Zapopan, Jal., México	['university', 'school', 'point_of_interest', 'establishment']
5	ChIJq0RtdpavKIQRhFOs3e--3xo	CBTIS 246	preparatoria	20.73572	-103.3978026	Blvd. del Rodeo 401, El Vigía, 45140 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
6	ChIJrXEso9-vKIQRx42487uq9fQ	Escuela Preparatoria No. 8 UdeG	preparatoria	20.7323535	-103.360182	Anillo Perif. Nte. Manuel Gómez Morín 1900, 45180 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
7	ChIJezAfZJOvKIQR2Y-EbrRG7Cc	Escuela Preparatoria No. 10	preparatoria	20.7457211	-103.3797175	Calle la Grana, C. Prol. Belenes 430-2, 45180 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
8	ChIJhcOay86nKIQRNZWjspv4cEk	Centro Universitario de Ciencias Biológicas y Agropecuarias (CUCBA)	preparatoria	20.7465489	-103.5137524	Cam. Ramón Padilla Sánchez 2100, Las Agujas, 44600 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
9	ChIJX94d4m-uKIQRzlxbWLHNGrg	LAMAR UNIVERSIDAD CAMPUS VALLARTA	preparatoria	20.6738455	-103.3963475	Av. Ignacio L Vallarta 3273-1, Vallarta Poniente, 44110 Guadalajara, Jal., México	['university', 'point_of_interest', 'establishment']
10	ChIJd9-6suOnKIQRSlThWCmf8hc	Preparatoria 21 U de G	preparatoria	20.8382026	-103.453307	Carr a Colotlán 7015, 45200 Jal., México	['school', 'point_of_interest', 'establishment']
11	ChIJS6xG18SuKIQR-aKvONOKIDM	COLEGIO SUBIRE	preparatoria	20.7229815	-103.4639173	P.º de la Estrella 857, Solares Residencial, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
12	ChIJa59RbPisKIQRgdCi-_XWkCc	Tecmilenio Campus Guadalajara Sur	preparatoria	20.6133117	-103.4145507	Av Milenio 8640, Santa María Tequepexpan, 45530 San Pedro Tlaquepaque, Jal., México	['university', 'point_of_interest', 'establishment']
13	ChIJLW_8Pe2tKIQR6NmHcrDF1bU	Prepa 5 UdeG	preparatoria	20.6418996	-103.3720821	Av. Fray Andrés de Urdaneta s/n, Colón Industrial, 44930 Guadalajara, Jal., México	['university', 'school', 'point_of_interest', 'establishment']
14	ChIJYeTZRqWvKIQR5_vw5wXBRUA	Universidad Azteca de Guadalajara Plantel Zapopan	preparatoria	20.7216882	-103.3944879	Calle Vicente Guerrero 232, República, 45100 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
15	ChIJxfVFX4mmKIQR8vxhnBIlOQg	CECyTEJ Tesistán	preparatoria	20.8010901	-103.4686476	Camino Tesistán-La Magdalena 500, Tesistan, 45100 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
16	ChIJ66HY0BsbJoQR6N1n4RxUjVY	CECyTEJ plantel 17 El Arenal	preparatoria	20.7625882	-103.6746082	Cecytej 17, Carr. Guadalajara - Tepic 28, Destiladora Refugio, 45353 El Arenal, Jal., México	['school', 'point_of_interest', 'establishment']
17	ChIJ4aQfQcqvKIQRZ120EsN0QB8	Instituto de Ciencias	preparatoria	20.7251313	-103.4734963	P.º de la Estrella 1371, Col. San Juan de Ocotán, 45019 Zapopan, Jal., México	['secondary_school', 'primary_school', 'school', 'point_of_interest', 'establishment']
18	ChIJ-3mMoOixKIQR9qDDs0imv6g	Universidad de Guadalajara - Sistema de Educacion Media Superior	preparatoria	20.6844251	-103.3466812	C. Liceo 496, Centro Barranquitas, 44200 Guadalajara, Jal., México	['university', 'point_of_interest', 'establishment']
19	ChIJRctq0iWpKIQRq0AaKqtJdWY	Colegio Pedregal de Guadalajara Campus bajío	preparatoria	20.69681	-103.465386	Av. Del Bajío 5903, El Bajío, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
20	ChIJFYtruL-pKIQRUZys7qp2iuQ	Instituto Tecnológico y de Estudios Superiores de Monterrey, Campus Guadalajara	preparatoria	20.7347236	-103.4557171	Av. Gral Ramón Corona No 2514, Colonia Nuevo México, 45201 Zapopan, Jal., México	['university', 'point_of_interest', 'establishment']
21	ChIJfZA3a-SmKIQRlcrG9N0rtdQ	Escuela Secundaria Mixta 84, Jesús Mario Rivas Souza	preparatoria	20.8107167	-103.4905131	C. Hidalgo 1750-B, Tesistan, 45200 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
22	ChIJvY-j3QuvKIQROBhaLjiw4Jk	Instituto Educativo Zapopan	preparatoria	20.741736	-103.4087891	Av. Juan Gil Preciado # 1051, Arcos de Zapopan, 45130 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
23	ChIJ24Zju7OoKIQRDtjHYvOa3vM	PrepaTec	preparatoria	20.7345709	-103.4530751	Avenida General Ramón Corona 2514, Colonia Nuevo México, 45138 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
24	ChIJ8TaTxEWnKIQRYeRDR-5ugSU	PREPA UNESJA	preparatoria	20.8081169	-103.4554958	Carr a Colotlán 3304, 45200 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
25	ChIJAd7hh-avKIQRi-FogtsNMxY	Escuela Preparatoria No. 19 UdeG	preparatoria	20.8152084	-103.4866571	P.º del Almendro s/n, Fracc. Vistas de Tesistán, 45200 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
26	ChIJeXy-VwKkKIQROKPiVu4JVhQ	Nueva Preparatoria de la Universidad de Guadalajara	preparatoria	20.8384533	-103.4533027	Carr a Colotlán 7015, 45200 Jal., México	['school', 'point_of_interest', 'establishment']
27	ChIJVcsFhN6lKIQR8o_e99HtKF0	Instituto Nelson Mandela	preparatoria	20.7779176	-103.445713	Antiguo Camino a Copalita 2385, Marcelino García Barragán, 45130 Zapopan, Jal., México	['primary_school', 'school', 'point_of_interest', 'establishment']
28	ChIJ33ZWz7ylKIQRD4Y7m9CJ2zA	InstitutoTepeyac Campus Capital Norte	preparatoria	20.7809498	-103.4171193	Av. de las Sendas No. 1265, Sendas Residencial, 45134 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
29	ChIJA6hGPKClKIQRmLmrC8j7Lkc	Rhinedu Instituto Académico Profesional Zapopan	preparatoria	20.7579674	-103.4308807	Av Juan Gil Preciado 4053 Nuevo México, 45138 Zapopan, Jal., México	['point_of_interest', 'establishment']
30	ChIJUQMUoMKlKIQRA-TIgVSg5IU	Cobaej Plantel 15 San Gonzalo	preparatoria	20.7754327	-103.4382413	Av Copalita #20, Col. San Gonzalo, 45134 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
31	ChIJv4hpoJ2xKIQRFoV6WFRsiUc	Escuela Preparatoria No. 2 UdeG	preparatoria	20.682959	-103.313954	C. Álvarez del Castillo 760, Blanco y Cuéllar, 44370 Guadalajara, Jal., México	['university', 'point_of_interest', 'establishment']
32	ChIJmZba6vymKIQR4G2VedAGLdA	Mi secundaria 39	preparatoria	20.8040625	-103.4934237	Morelos 59, Santa Lucía, 45200 Tesistán, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
33	ChIJ6coWwLyxKIQRBIJOzET_ovA	Bachillerato Licenciaturas, Preparatoria Centro Universitario De Monterrey Cudem	preparatoria	20.6954328	-103.32568	Av. Cvln. Dr. Atl 377, Monumental, 44320 Guadalajara, Jal., México	['school', 'university', 'point_of_interest', 'establishment']
