	google_id	name	query	lat	lon	address	types
0	ChIJjUmBNj4DJoQRMRgVb0oMrpQ	Jardin de Niños Sor Juana Ines De La Cruz	preescolar	20.7257001	-103.5619422	Calle Mariano Matamoros, Pinar de la Venta, 45226 La Primavera, Jal., México	['school', 'point_of_interest', 'establishment']
1	ChIJhaRuv0oDJoQRFKUy57hZNzI	Preescolar Cuitlahuac 14DJN0151P	preescolar	20.7259452	-103.5453428	C. Tabachines 158, 45221 La Venta del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
2	ChIJm1OFLsWnKIQRegsIbwoz_mc	D1V3RT1 APR3ND3 👾🧮🌏✏️🚀✨Académia de clases de regularización, Inicial, Preescolar, Primaria, Secundaria.	preescolar	20.7730848	-103.4758446	Fuente Caliza 1921, 45200 Zapopan, Jal., México	['point_of_interest', 'establishment']
3	ChIJK41d_5GnKIQR1JTCI6XudMU	Bubble World educacion preescolar kinder	preescolar	20.802224	-103.4630105	bugambilias # 15 la magdalena, 45200 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
4	ChIJxw3JLzmnKIQRaJK5uMbJvT8	Preescolar Vazco de Quiroga 14EJN0416F	preescolar	20.7977405	-103.4846492	Dedal, Las Agujas, 45200 Tesistán, Jal., México	['school', 'point_of_interest', 'establishment']
5	ChIJv1YiwrSoKIQRH1VvwYga9LY	Peek-a-Boo Kinder	preescolar	20.7314083	-103.4522801	Av. Sta. Margarita 2418, Valle Real, 45201 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
6	ChIJQ478UYanKIQRLmaF8ZAlWyQ	Preescolar Irene Robledo	preescolar	20.7707355	-103.4739045	agua Laguna Azul, C. Agua Azul 33, 45200 La Cuchilla, Jal., México	['school', 'point_of_interest', 'establishment']
7	ChIJa7ba-xSvKIQRXP7EmFmSF68	Jardín de Niños Maria del Refugio Pacheco de López Portillo	preescolar	20.7272015	-103.4246777	Calle Girasoles esquina Av Santa Esther 120, Los Girasoles, 45130 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
8	ChIJ9beprjmsKIQR8_Kk8ihIoyI	Sofia Preescolar Bilingüe	preescolar	20.6399866	-103.4190336	C. Volcán Vesubio 4826, Colli Urbano, 45070 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
9	ChIJP_Y32FobJoQR1GjjyHmThAo	Preescolar Federal Revolucion Mexicana	preescolar	20.7437704	-103.6415259	C. Florida 27, 45350 Santa Cruz del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
10	ChIJabBRQtSoKIQRQ03mEGlZ5RQ	Colegio Montessori	preescolar	20.7081802	-103.4550014	C. Ocampo 175, San Juan de Ocotán, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
11	ChIJz5uSWoOuKIQRZejQShfplRY	Kinder Play	preescolar	20.6721046	-103.4252921	Av. Miguel Angel 235, La Estancia, 45030 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
