	google_id	name	query	lat	lon	address	types
0	ChIJJ7KZuKIDJoQRYW6DUeOcLK0	La Primavera, 14DPR1582B	escuela primaria	20.7248118	-103.564542	C. Leona Vicario 61, 45226 La Primavera, Jal., México	['school', 'point_of_interest', 'establishment']
1	ChIJb6-NbR2oKIQRbiduZ4xMJcQ	Escuela Primaria Miguel Hidalgo Y Costilla	escuela primaria	20.7297271	-103.5425201	C. Petronilo Orozco 26, El Campestre, 45221 La Venta del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
2	ChIJucrYtx2oKIQRCQXfHLSvgWg	Escuela Secundaria General 64 Jesús Reyes Héroles	escuela primaria	20.7271859	-103.5415868	C. Allende 47, El Campestre, 45221 La Venta del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
3	ChIJBQzNOuelKIQR58XeXdTrY0s	Escuela Primaria Miguel Hidalgo y Costilla Urbana 1154 y 1199	escuela primaria	20.7726897	-103.4446033	San Miguel, La Periquera, 45134 Nuevo México, Jal., México	['school', 'point_of_interest', 'establishment']
4	ChIJCV1SNFEbJoQRzNvG3uhHMg0	BENITO JUAREZ	escuela primaria	20.7440022	-103.6398391	C. Hidalgo 70, 45360 Santa Cruz del Astillero, Jal., México	['primary_school', 'school', 'point_of_interest', 'establishment']
5	ChIJWTLQV2oFJoQRvP2TAHIQ2bk	Escuela Niño Artillero	escuela primaria	20.7322378	-103.661149	45368 Huaxtla, Jal., México	['primary_school', 'school', 'point_of_interest', 'establishment']
6	ChIJG3Va2-OlKIQRJqX_hynnkBA	Escuela Primaria Idolina Gaona Ruiz 1040	escuela primaria	20.7681277	-103.4472305	Calle Cuarta Nte 168-202, 45138 Nuevo México, Jal., México	['school', 'point_of_interest', 'establishment']
7	ChIJIc5PHtOoKIQRz78WoTypbsM	Escuela Primaria Vicente Guerrero	escuela primaria	20.7127612	-103.4528164	Libertad 230, San Juan de Ocotán, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
8	ChIJn8lTG-QaJoQRoC9sETMJj2I	Escuela Primaria Federal Elias Nandino Vallarta	escuela primaria	20.7615688	-103.6890458	Sebastián Allende 45, Los Sauces, 45350 El Arenal, Jal., México	['school', 'point_of_interest', 'establishment']
9	ChIJJ8KV7DCpKIQRvB_2Ownw1X4	ESCUELA PRIMARIA RAMON CORONA	escuela primaria	20.7351394	-103.4706246	Avenida General Ramón Corona, La Mojonera, 45019 La Mojonera, Jal., México	['school', 'point_of_interest', 'establishment']
