name	category	category_code	lat	lon	address
"Pensión Canina ""del bosque"""	Pet Service	11133	20.720129	-103.566706	Avenida del bosque 20 (Cañon de las Flores), 45226 Zapopan, Jalisco
Carniceria	Butcher	17059	20.724718	-103.56362	Jalisco
Restaurante el Barzon	Mexican Restaurant	13303	20.720001	-103.562115	45220 , Jalisco
Cooperativa el Mezquite	Vegan and Vegetarian Restaurant	13377	20.72211	-103.55875	Carretera Gdl - Nogales Km 19, 45221 , Jalisco
Neo PC Tech	Electronics Store	17025	20.726688	-103.561588	Calle Francisco Javier Mina, Zapopan, 45226 (José Maria Morelos), Zapopan, Jalisco
Organikós Hortalizas	Garden Center	17101	20.726957	-103.559292	
Materiales Para Construcción Ferretería	Hardware Store	17090	20.727039	-103.547928	Carretera a Nogales 401 (Col. La Venta Del Astillero), 45221 Zapopan, Jalisco
Barriles Lizardi	Wine Store	17080	20.727655	-103.548071	Jalisco
Deposito de Fábrica	Arts and Crafts Store	17003	20.72725	-103.5461	La Venta del Astillero, Jalisco
Grupo Industrial Vida	Food and Beverage Retail	17057	20.72946	-103.546986	Ejido 300, 45221 Zapopan, Jalisco
Taller de Bicicletas Castillo	Bicycle Store	17119	20.727597	-103.544576	45221 Zapopan, Jalisco
Evangelista Barreras Estela	Grocery Store	17069	20.726806	-103.544523	Manuel Garcia 85, 45221 Zapopan, Jalisco
Hacienda la Venta Club Canino	Assisted Living Service	15004	20.721392	-103.540449	Jalisco
La Carreta del Abuelo	Mexican Restaurant	13303	20.729406	-103.539015	Carretera a Nogales 149, La Venta del Astillero, Jalisco
Expo Nochebuena	Flower Store	17056	20.725155	-103.541193	Jalisco
Cemento Moctezuma	Construction Supplies Store	17028	20.728338	-103.542686	Carretera Guadalajara Nogales Km 18, 45220 Guadalajara, Jalisco
Pinturas PRISA la Venta	Hardware Store	17090	20.728585	-103.541514	Avenida Guadalajara 99D, La Venta del Astillero, Jalisco
"Abarrotes ""El Pinar"""	Wine Store	17080	20.728851	-103.541663	Jalisco
Farmacias Familiares Suc. la Venta	Drugstore	17035	20.728602	-103.540735	Avenida Guadalajara 99A (Allende), 45221 Zapopan, Jalisco
Oxxo	Grocery Store	17069	20.729045	-103.540607	Carretera internacional, 45221 Zapopan, Jalisco
Abarrotes Vinos y Licores el Gran Chaparral	Convenience Store	17029	20.729184	-103.539932	Jalisco
Rivera Rivera Eliseo	Hardware Store	17090	20.730368	-103.539871	Crr a Nextipac 17, 44008 Guadalajara, Jalisco
Tortillería Nextipac	Organic Grocery	17070	20.731359	-103.53991	45100 Zapopan, Jalisco
Farmacia y Papelería Master	Stationery Store	17131	20.731493	-103.539918	45221 Zapopan, Jalisco
Flores	Flower Store	17056	20.731488	-103.539922	45221 Zapopan, Jalisco
Mini Súper Núñez	Convenience Store	17029	20.73151	-103.53979	Tesistán, Jalisco
Agromaster	Retail	17000	20.72822	-103.542957	Carretera Gdli Nogales 19, 45221 Zapopan, Jalisco
Oxxo	Grocery Store	17069	20.739051	-103.539744	
Construmateriales Sare	Hardware Store	17090	20.732311	-103.539225	Calle Jilgueros (Carretera Nextipac), 45221 Zapopan, Jalisco
Golden Gate	Butcher	17059	20.739068	-103.539713	Zapopan, Jalisco
Punto Campestre	Shopping Mall	17114	20.739096	-103.539697	Avenida del Campestre 756 (Carretera a Nextipac), 45221 La Venta del Astillero, Jalisco
Terraza la Noria	Event Service	11038	20.731943	-103.532735	Carretera a Nogales, 45221 Zapopan, Jalisco
General Cotton	Advertising Agency	11001	20.725019	-103.528618	Ceibas 190, 45221 Zapopan, Jalisco
Vivero los Amigos	Daycare	11026	20.747841	-103.536424	Jalisco
Vivero Jardin-Es Arte al Natural Nextipac	Garden Center	17101	20.755983	-103.53453	Carretera La Venta Nextipac Km 3, Tesistán, Jalisco
Yoga en el Bosque	Garden Center	17101	20.721478	-103.525595	Jalisco
Contreras Gonzalez Armando	Grocery Store	17069	20.766028	-103.52605	Hidalgo 60, 45200 Zapopan, Jalisco
Casillas Lozano Martha Celia	Clothing Store	17043	20.766741	-103.525184	Juarez 39, 45100 Zapopan, Jalisco
Vivero Guadalupe	Garden Center	17101	20.755474	-103.511417	La Venta del Astillero, Jalisco
Viveros los Amigos	Flower Store	17056	20.782111	-103.507105	Nextipac 3600, 45220 Zapopan, Jalisco
Oxxo	Grocery Store	17069	20.799605	-103.498568	Avenida Revolución 3941 (Ecónomos), 45037 Zapopan, Jalisco
Edi Block	Construction Supplies Store	17028	20.801356	-103.50326	Obelisco 1617, 45200 Zapopan, Jalisco
Jalcasa	Construction Supplies Store	17028	20.801356	-103.50326	Obelisco 1617, 45200 Guadalajara, Jalisco
Nuevos Frenos Unicos	Automotive Service	11009	20.799144	-103.49764	Avenida Adolfo Lopez Mateos 5638, 45070 Guadalajara, Jalisco
Armonia Muebles	Furniture and Home Store	17082	20.799154	-103.497635	Avenida Adolfo Lopez Mateos 4774, Zapopan, Jalisco
Uniformes Duran	Clothing Store	17043	20.799249	-103.496786	Avenida de la Presa 904, 45200 Guadalajara, Jalisco
Taller de Soldaduras de Argon	Hardware Store	17090	20.800621	-103.496845	Jalisco
Ibarra Rosales Gerardo	Garden Center	17101	20.80084	-103.496419	Prl Adolfo Lopez Mateos 5059, 44008 Guadalajara, Jalisco
Barajas Gloria Ramiro	Retail	17000	20.804277	-103.500831	Avenida Santa Lucia 1655, 45200 Zapopan, Jalisco
Art Para la Ind de la Joyeria	Jewelry Store	17045	20.799135	-103.49765	Avenida Adolfo Lopez Mateos 11 y 12 s/n, Jalisco
Gastronomia Avanzada Pastelerias	Bakery	13002	20.799156	-103.497627	Avenida Adolfo Lopez Mateos 5076, 45050 Zapopan, Jalisco
"Mini Super ""La Y"""	Grocery Store	17069	20.807275	-103.495475	Carretera a Las Mesitas, Zapopan, Jalisco
Corporación Dalton	Retail	17000	20.807047	-103.495692	Avenida López Mateos Sur 730-2, 45040 , Jalisco
Olvera Avalos Andres	Retail	17000	20.807047	-103.495692	Lopez Mateos Sur 720B, 45235 Zapopan, Jalisco
Don Gato	Afghan Restaurant	13066	20.613985	-103.49147	
