	google_id	name	query	lat	lon	address	types
0	ChIJucrYtx2oKIQRCQXfHLSvgWg	Escuela Secundaria General 64 Jesús Reyes Héroles	secundaria	20.7271859	-103.5415868	C. Allende 47, El Campestre, 45221 La Venta del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
1	ChIJ_-m0yOSlKIQR6Zv61N6M-l0	Escuela Secundaria Mixta 66	secundaria	20.7640778	-103.4435622	Octava Ote. 421, 45138 Nuevo México, Jal., México	['school', 'point_of_interest', 'establishment']
2	ChIJh6ZZzpYFJoQR1Xu7dlKoPzw	Escuela Secundaria General “Manuel M. Dieguéz”	secundaria	20.6680603	-103.7088699	C. Primero de Mayo 35, Magisterial, 45300 Tala, Jal., México	['school', 'point_of_interest', 'establishment']
3	ChIJfZA3a-SmKIQRlcrG9N0rtdQ	Escuela Secundaria Mixta 84, Jesús Mario Rivas Souza	secundaria	20.8107167	-103.4905131	C. Hidalgo 1750-B, Tesistan, 45200 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
4	ChIJ2d1Lm5inKIQRs9PEhRUdWoo	Secundaria Tecnica #169	secundaria	20.7841324	-103.5209918	45220 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
5	ChIJO-d6vYWmKIQRSySoUQ_S1wY	Escuela Secundaria Técnica 157. Severiano Casillas Ramírez.	secundaria	20.8047245	-103.4611078	Calle Lirio s/n La Magdalena, 45200 Zapopan, Jal., México	['school', 'secondary_school', 'point_of_interest', 'establishment']
6	ChIJPwIoVb2vKIQRevljPWCnTow	Escuela Secundaria Mixta 1	secundaria	20.731637	-103.3933257	Blvd. Del Vigía 476, El Vigía, 45140 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
7	ChIJRfnd-5ivKIQRRj19ipL3E0I	Escuela Secundaria Técnica 77	secundaria	20.7338597	-103.396841	Av. Laureles 820, Belenes Nte., 45145 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
8	ChIJffCi31UbJoQRjteQujZZst0	Escuela secundaria Aquiles Serdan	secundaria	20.7417332	-103.6379023	45360 Santa Cruz del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
9	ChIJc8nbDYirKIQRDZki48HPXzQ	Escuela Secundaria Mixta No 34 Lázaro Cardenas del Río	secundaria	20.6230514	-103.4523345	C. Pino Suárez 105, Santa Ana Tepetitlán, 45230 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
10	ChIJKfwWd9evKIQRx4-Xr96XhBc	Escuela Secundaria Técnica 13	secundaria	20.7221062	-103.3620231	C. Aldama 401, Atemajac del Valle, 45190 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
11	ChIJUSll3eitKIQRK2Z0nMzyVyM	"Escuela Secundaria 69 Mixta ""Teresa de Calcuta"""	secundaria	20.6493388	-103.3774668	Guayana, Del Sur, 44920 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
12	ChIJfSMjqrOuKIQRQpK9PaFvOSI	Escuela Secundaria Número 18 Mixta	secundaria	20.6725307	-103.4493705	Calz. Circunvalacion Ote. 375, Granja, 45010 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
13	ChIJe2NhvbysKIQRRmBEq71mGas	"Escuela Secundaria Mixta 95 ""Miguel Hidalgo y Costilla"""	secundaria	20.5836663	-103.4380265	Av. La Tijera 119, Los Tulipanes, 45640 La Tijera, Jal., México	['school', 'point_of_interest', 'establishment']
14	ChIJJ3tGTvatKIQRK-PoXALaMKo	Escuela Sec 7 Mixta	secundaria	20.650896	-103.3648175	Ruiseñor 1481, Morelos, 44910 Guadalajara, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
15	ChIJWanFIrgEJoQRwLam2eQULi4	Escuela Secundaria Tecnica 21	secundaria	20.7220006	-103.6577624	C. Diaz Ordaz 23, Destiladora Refugio, 45368 Huaxtla, Jal., México	['school', 'point_of_interest', 'establishment']
16	ChIJ6VRWAgesKIQRbSRMQsvsb3I	"Escuela Secundaria General No. 94 ""Guillermo Prieto"""	secundaria	20.6494805	-103.4483784	C. Sidra 499, Paraísos del Colli, 45069 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
17	ChIJmZba6vymKIQR4G2VedAGLdA	Mi secundaria 39	secundaria	20.8040625	-103.4934237	Morelos 59, Santa Lucía, 45200 Tesistán, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
18	ChIJhTxvI4qmKIQRN6u2nE9p8KI	Secundaria Luis Farah Mata, Mixta 67	secundaria	20.7980262	-103.4690957	Av San Mateo 1461, Parques Tesistan, 42100 Tesistán, Jal., México	['school', 'point_of_interest', 'establishment']
19	ChIJZw06pFGsKIQRABSKqlIR4Bc	Secundaria 13 Mixta	secundaria	20.6230376	-103.4128609	Río Atenguillo, Las Águilas, 45080 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
20	ChIJax_Bj3OvKIQR3DSzUr3-5W8	"Escuela Secundaria General Nº59 ""Francisco Márquez"""	secundaria	20.7346917	-103.4112741	Av Tuzania 2805, La Tuzania, 45130 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
21	ChIJcXSX_QmsKIQRGmOjsnq6Uxc	Escuela Secundaria Técnica 112	secundaria	20.6405272	-103.4510991	C. Puerto Tampico 84, Miramar, 45060 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
22	ChIJuW0_0CmpKIQRLfL8IhSfOI0	Secundaria General 67 Juan José Arreola	secundaria	20.7033563	-103.4597121	Av. Aviación 6916, San Juan de Ocotán, 45019 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
23	ChIJFaS7PwADJoQRvwyFNLEIXaI	Telesecundaria Joaquin Gutiérrez Heras	secundaria	20.7189654	-103.6284296	P99C+MG Privada Don Pedro, 45364 Emiliano Zapata, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
24	ChIJb6-NbR2oKIQRbiduZ4xMJcQ	Escuela Primaria Miguel Hidalgo Y Costilla	secundaria	20.7297271	-103.5425201	C. Petronilo Orozco 26, El Campestre, 45221 La Venta del Astillero, Jal., México	['school', 'point_of_interest', 'establishment']
25	ChIJY92hoiiuKIQRGEG3Vm43h8c	"Escuela Secundaria ""Idolina Gaona De Cosio"""	secundaria	20.7002734	-103.3631035	C. Ignacio Ramírez 1463, Lomas del Country, 44610 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
26	ChIJ6xiesqinKIQRAKls3hMNh4E	14DTV0330Q IGNACIO L VALLARTA	secundaria	20.7666707	-103.5257176	45220 Nextipac, Jal., México	['school', 'point_of_interest', 'establishment']
27	ChIJq-oUEaWtKIQRkdA6gPhM2Gw	Esc. Sec. Téc. 145 14DST0153P	secundaria	20.6248596	-103.390285	C. Isla Zanzibar 4025-B, El Sauz, 44987 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
28	ChIJYVJpVmWsKIQR7ojJLkn4OT4	Secundaria 81	secundaria	20.6232158	-103.4390932	Tlalpan 35, El Briseño, 45236 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
29	ChIJSwbX46StKIQR5PuwZnJkQIA	Secundaria General #87 Juan Rulfo	secundaria	20.6258484	-103.3901407	Isla Java, El Sauz, 44987 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
30	ChIJExDkByMFJoQRn8XAvqxxzjY	"Secundaria General 117 ""Jose Cornejo Franco"""	secundaria	20.7118205	-103.6917283	Av Arroyo de los Estados, Los Ruiseñores, 45314 Los Ruiseñores, Jal., México	['school', 'point_of_interest', 'establishment']
31	ChIJfaD8io5iL4QR2YnZXm26VPM	Escuela Secundaria Mixta Número 38 Emiliano Zapata	secundaria	20.6513269	-103.3870805	Rcda. de La Floresta 2353, Rinconada del Bosque, 44530 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
32	ChIJieSExlcaJoQRJM96CIyDK7E	Secundaria Foranea mixta no.8	secundaria	20.7793521	-103.6916885	Bajío, 45350 El Arenal, Jal., México	['school', 'point_of_interest', 'establishment']
33	ChIJ8aucOrmuKIQRox2o08zXUMo	Escuela Secundaria Técnica 51	secundaria	20.6783654	-103.4347408	Emiliano Zapata 135, Sta María del Pueblito, 45018 Zapopan, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
34	ChIJS-VLfFKsKIQRWH62ADIjxMg	Escuela Secundaria Mixta 26 Benemerito de las Americas	secundaria	20.6252855	-103.4080225	C. Río Cihuatlan 815, Las Águilas, 45080 Zapopan, Jal., México	['point_of_interest', 'establishment']
35	ChIJ___MUj2pKIQRyinmfrEqXEI	Signos	secundaria	20.6907748	-103.4736942	Av. Del Bajío 1620, El Bajío, 45019 Zapopan, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
36	ChIJ1bR788KtKIQRtdb56qnh3cA	Escuela Secundaria Mixta 46 Juan Rulfo	secundaria	20.6482383	-103.3851003	Guayana SN, Rinconada de la Arboleda, Jardines de La Cruz, 44549 Guadalajara, Jal., México	['school', 'secondary_school', 'point_of_interest', 'establishment']
37	ChIJ31e37F6vKIQRDRLQG4QmDyY	ESCUELA SECUNDARIA GENERAL NO. 109 IRENE ROBLEDO GARCIA	secundaria	20.7480248	-103.4318135	Av. Valle de México 2519, Jardines del Valle, 45138 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
38	ChIJL5hXUcWoKIQRmKiqTYk5XWY	Summit School	secundaria	20.7154187	-103.4631429	Prol. Av. 5 De Mayo 500, Rinconada del Bosque, 45019 Zapopan, Jal., México	['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']
39	ChIJxwwriz6uKIQRUF9nfFTzS8I	Colegio Fray Pedro de Gante. Preescolar, Primaria, Secundaria, Bachillerato.	secundaria	20.6895206	-103.377741	Av Adolfo López Mateos Nte 833, Lomas de Guevara, 44680 Guadalajara, Jal., México	['school', 'point_of_interest', 'establishment']
40	ChIJqdKpNwmvKIQRnroiXc8rfdU	Escuela Secundaria Técnica 47	secundaria	20.7233757	-103.4101653	Sta. Laura 169, Lomas del Bosque, Santa Margarita1a Secc., 45140 Zapopan, Jal., México	['school', 'point_of_interest', 'establishment']
41	ChIJq77_93avKIQR1kDM5d5YzHU	"Escuela Secundaria Mixta No. 20 ""Francisco Camacho Robles"""	secundaria	20.7389043	-103.4078619	Arco Bizantino 520, Arcos de Zapopan, 45130 Zapopan, Jal., México	['secondary_school', 'school', 'point_of_interest', 'establishment']
