name	category	category_code	lat	lon	address
Flow Fit	Yoga Studio	18028	20.739176	-103.540167	Punto Campestre, Zapopan, Jalisco
Campestre Gym	Gym and Studio	18021	20.739166	-103.539748	Avenida El Campestre 257, 45221 Zapopan, Jalisco
24 Fit Club Crossfit	Gym and Studio	18021	20.815538	-103.48589	Tesistán, Jalisco
Human Sport Gym	Gym and Studio	18021	20.622031	-103.479918	Jalisco
Gimnasio Fitline Sport	Gym and Studio	18021	20.62673	-103.478932	Colegio Militar 3320, 45066 Zapopan, Jalisco
TCS Gym	Gym and Studio	18021	20.72571	-103.487831	Guadalajara Technology Park, Zapopan, Jalisco
Strong Life Gym	Gym and Studio	18021	20.795244	-103.479537	Pino Suárez 208, 45200 Tesistan, Jalisco
24 FitClub Tesistan	Gym and Studio	18021	20.796365	-103.477485	16 Calle Aldama, Zapopan, 45200, Tesistán, Jalisco
Crossfit Lobos Tesistan	Gym and Studio	18021	20.796339	-103.47769	Tesistán, Jalisco
Bugambilias Club	Gym and Studio	18021	20.615059	-103.471607	Avenida del Reno 150, Zapopan, Jalisco
Moving Point	Gym and Studio	18021	20.624148	-103.471357	Colegio Militar 4, Zapopan, Jalisco
Gym Sport Fit Line	Gym and Studio	18021	20.624637	-103.471762	Colegio Militar 3320, 45066 Zapopan, Jalisco
Fit Air	Gym and Studio	18021	20.624375	-103.471555	45066 Zapopan, Jalisco
Gimnasio Villa Panamericana	Gym and Studio	18021	20.689247	-103.473413	Zapopan, Jalisco
Carril4tro	Gym and Studio	18021	20.699531	-103.468896	Avenida Franco Mexicano 195, 44019 Zapopan, Jalisco
Lake Crosstraining	Gym and Studio	18021	20.725368	-103.471405	45019 Zapopan, Jalisco
Gym Coto 9	Gym and Studio	18021	20.726358	-103.46745	Zapopan, Jalisco
Enjoy Fitness Gym	Gym and Studio	18021	20.787979	-103.471303	Avenida Tesistan 8920 (Calle Fray Junipero Serra), 45200 Zapopan, Jalisco
Fitland	Gym and Studio	18021	20.801017	-103.470857	Puente Chico 248, 45200 Zapopan, Jalisco
On-Fit Gym	Gym and Studio	18021	20.796102	-103.468538	45200 Tesistán, Jalisco
Fit & Body Health	Gym and Studio	18021	20.627559	-103.467651	Avenida Bronce (Av Guardia Nacional), Zapopan, Jalisco
Sport Gym	Gym and Studio	18021	20.627509	-103.467462	45066 Zapopan, Jalisco
Crossfit Le Parc	Gym and Studio	18021	20.627823	-103.463565	Zapopan, Jalisco
Boxfit	Boxing Gym	18022	20.62872	-103.46765	45066 Zapopan, Jalisco
Stronger Fitness Gym	Gym and Studio	18021	20.627922	-103.459404	Calle Javier Mina 104, 45066 Zapopan, Jalisco
Nuevo Estadio Carneros	Stadium	10051	20.647638	-103.466899	Zapopan, Jalisco
Bay Fitness Gym Guadalupe	Gym and Studio	18021	20.641513	-103.462041	Zapopan, Jalisco
De la Torre Orozco Ma de Lourdes	Gym and Studio	18021	20.644684	-103.460257	Avenida Gpe 6000 28, Guadalajara, Jalisco
Ayamonte	Housing Development	12079	20.671593	-103.464061	Zapopan, Jalisco
Club Maxima Arqueria	Gym and Studio	18021	20.714916	-103.462902	Zapopan, Jalisco
Syzygy	Yoga Studio	18028	20.718711	-103.461245	Paseo de la Luna 858, 45019 Zapopan, Jalisco
Trèsfit Solares	Pilates Studio	18027	20.718912	-103.46121	Avenida Paseo de la Luna 858, 45019 Zapopan, Jalisco
Jumping Dance City	Gym and Studio	18021	20.719102	-103.46116	Zapopan, Jalisco
